UCOM/BMCE_SLB,Trade in Other Base Metals and Cermets - Solomon Islands
UCOM/ALLC_CIV,Commodity Imports and Exports - Côte d'Ivoire
UCOM/ALLC_CRI,Commodity Imports and Exports - Costa Rica
UCOM/ALLC_CYP,Commodity Imports and Exports - Cyprus
UCOM/ALLC_CUB,Commodity Imports and Exports - Cuba
UCOM/ALLC_HRV,Commodity Imports and Exports - Croatia
UCOM/ALLC_CZE,Commodity Imports and Exports - Czech Republic
UCOM/ALLC_DNK,Commodity Imports and Exports - Denmark
UCOM/ALLC_DJI,Commodity Imports and Exports - Djibouti
UCOM/ALLC_DMA,Commodity Imports and Exports - Dominica
UCOM/ALLC_ECU,Commodity Imports and Exports - Ecuador
UCOM/ALLC_DOM,Commodity Imports and Exports - Dominican Republic
UCOM/ALLC_EGY,Commodity Imports and Exports - Egypt
UCOM/ALLC_ERI,Commodity Imports and Exports - Eritrea
UCOM/ALLC_SLV,Commodity Imports and Exports - El Salvador
UCOM/ALLC_EST,Commodity Imports and Exports - Estonia
UCOM/ALLC_ETH,Commodity Imports and Exports - Ethiopia
UCOM/ALLC_FIN,Commodity Imports and Exports - Finland
UCOM/ALLC_GEO,Commodity Imports and Exports - Georgia
UCOM/ALLC_FJI,Commodity Imports and Exports - Fiji
UCOM/ALLC_GMB,Commodity Imports and Exports - Gambia
UCOM/ALLC_GAB,Commodity Imports and Exports - Gabon
UCOM/ALLC_GRC,Commodity Imports and Exports - Greece
UCOM/ALLC_GHA,Commodity Imports and Exports - Ghana
UCOM/ALLC_GTM,Commodity Imports and Exports - Guatemala
UCOM/ALLC_GRD,Commodity Imports and Exports - Grenada
UCOM/ALLC_GUY,Commodity Imports and Exports - Guyana
UCOM/ALLC_DEU,Commodity Imports and Exports - Germany
UCOM/ALLC_HND,Commodity Imports and Exports - Honduras
UCOM/ALLC_GIN,Commodity Imports and Exports - Guinea
UCOM/ALLC_GNB,Commodity Imports and Exports - Guinea-Bissau
UCOM/ALLC_HTI,Commodity Imports and Exports - Haiti
UCOM/ALLC_HKG,Commodity Imports and Exports - Hong Kong SAR
UCOM/ALLC_ISL,Commodity Imports and Exports - Iceland
UCOM/ALLC_HUN,Commodity Imports and Exports - Hungary
UCOM/ALLC_IDN,Commodity Imports and Exports - Indonesia
UCOM/ALLC_IRN,Commodity Imports and Exports - Iran (Islamic Republic of)
UCOM/ALLC_JOR,Commodity Imports and Exports - Jordan
UCOM/ALLC_JPN,Commodity Imports and Exports - Japan
UCOM/ALLC_ISR,Commodity Imports and Exports - Israel
UCOM/ALLC_IRQ,Commodity Imports and Exports - Iraq
UCOM/ALLC_KAZ,Commodity Imports and Exports - Kazakhstan
UCOM/ALLC_JAM,Commodity Imports and Exports - Jamaica
UCOM/ALLC_IRL,Commodity Imports and Exports - Ireland
UCOM/ALLC_KIR,Commodity Imports and Exports - Kiribati
UCOM/ALLC_LBN,Commodity Imports and Exports - Lebanon
UCOM/ALLC_KWT,Commodity Imports and Exports - Kuwait
UCOM/ALLC_KGZ,Commodity Imports and Exports - Kyrgyzstan
UCOM/ALLC_LVA,Commodity Imports and Exports - Latvia
UCOM/ALLC_LSO,Commodity Imports and Exports - Lesotho
UCOM/ALLC_LTU,Commodity Imports and Exports - Lithuania
UCOM/ALLC_LBY,Commodity Imports and Exports - Libya
UCOM/ALLC_LUX,Commodity Imports and Exports - Luxembourg
UCOM/ALLC_KEN,Commodity Imports and Exports - Kenya
UCOM/ALLC_MDG,Commodity Imports and Exports - Madagascar
UCOM/ALLC_MYS,Commodity Imports and Exports - Malaysia
UCOM/ALLC_MLT,Commodity Imports and Exports - Malta
UCOM/ALLC_MDV,Commodity Imports and Exports - Maldives
UCOM/ALLC_MLI,Commodity Imports and Exports - Mali
UCOM/ALLC_MRT,Commodity Imports and Exports - Mauritania
UCOM/ALLC_MNG,Commodity Imports and Exports - Mongolia
UCOM/ALLC_FSM,Commodity Imports and Exports - Micronesia (Federated States of)
UCOM/ALLC_MAR,Commodity Imports and Exports - Morocco
UCOM/ALLC_MUS,Commodity Imports and Exports - Mauritius
UCOM/ALLC_MOZ,Commodity Imports and Exports - Mozambique
UCOM/ALLC_NPL,Commodity Imports and Exports - Nepal
UCOM/ALLC_MWI,Commodity Imports and Exports - Malawi
UCOM/ALLC_MNE,Commodity Imports and Exports - Montenegro
UCOM/ALLC_MMR,Commodity Imports and Exports - Myanmar
UCOM/ALLC_NAM,Commodity Imports and Exports - Namibia
UCOM/ALLC_NLD,Commodity Imports and Exports - Netherlands
UCOM/ALLC_NER,Commodity Imports and Exports - Niger
UCOM/ALLC_NZL,Commodity Imports and Exports - New Zealand
UCOM/ALLC_NIC,Commodity Imports and Exports - Nicaragua
UCOM/ALLC_OMN,Commodity Imports and Exports - Oman
UCOM/ALLC_NGA,Commodity Imports and Exports - Nigeria
UCOM/ALLC_MEX,Commodity Imports and Exports - Mexico
UCOM/ALLC_PLW,Commodity Imports and Exports - Palau
UCOM/ALLC_PRY,Commodity Imports and Exports - Paraguay
UCOM/ALLC_PAK,Commodity Imports and Exports - Pakistan
UCOM/ALLC_PNG,Commodity Imports and Exports - Papua New Guinea
UCOM/ALLC_PAN,Commodity Imports and Exports - Panama
UCOM/ALLC_PER,Commodity Imports and Exports - Peru
UCOM/ALLC_POL,Commodity Imports and Exports - Poland
UCOM/ALLC_PRT,Commodity Imports and Exports - Portugal
UCOM/ALLC_MDA,Commodity Imports and Exports - Republic of Moldova
UCOM/ALLC_KOR,Commodity Imports and Exports - Republic of Korea
UCOM/ALLC_PHL,Commodity Imports and Exports - Philippines
UCOM/ALLC_KNA,Commodity Imports and Exports - Saint Kitts and Nevis
UCOM/ALLC_QAT,Commodity Imports and Exports - Qatar
