Description,mcp,distance,pci,oppgain
"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",0,0.6523929,-3.6860642,-0.26281548
"Jute and other textile bast fibres (not flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres, including yarn waste and garnetted stock",0,0.66568935,-4.2480946,-0.20042987
"Woven fabrics of jute, other textile bast fibres of heading no. 5303",0,0.67716074,-3.8001578,-0.18250906
"Bananas, including plantains; fresh or dried",0,0.6866014,-3.3998857,-0.17096166
"Underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles; men's or boys', knitted or crocheted",0,0.695909,-1.5400361,-0.018676737
Petroleum oils and oils obtained from bituminous minerals; crude,0,0.69670534,-3.8559916,-0.17218286
"Hats and other headgear; knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed",0,0.70173717,-2.5576243,0.037689723
"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried",0,0.7062071,-2.5755396,-0.23423961
Ores and concentrates; n.e.c. in heading no. 2601,0,0.708489,-3.1004944,-0.21398553
"Cane or beet sugar and chemically pure sucrose, in solid form",0,0.7122965,-2.1232562,-0.17443797
Yarn of jute or of other textile bast fibres of heading no. 5305,0,0.71250784,-2.8494098,-0.02183729
"Cocoa beans; whole or broken, raw or roasted",0,0.7138711,-3.9783857,-0.06891753
"Bed linen, table linen, toilet linen and kitchen linen",0,0.7190025,-2.2393274,-0.07931854
"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",0,0.7202157,-3.5181518,-0.22192216
Aluminium ores and concentrates,0,0.72262967,-2.4878538,-0.09024945
"Vegetables, leguminous; shelled, whether or not skinned or split, dried",0,0.7255379,-2.3987298,-0.23335019
"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",0,0.72601724,-1.5726824,-0.10945064
"Tanned or crust skins of sheep and lambs, without wool on, whether or not split, but not further prepared",0,0.72955644,-2.6872966,-0.18405047
Chromium ores and concentrates,0,0.7296393,-2.6199608,-0.16098188
"Seeds of anise, badian, fennel, coriander, cumin, caraway or juniper",0,0.7311008,-1.4279631,-0.12353971
"Textiles; made up articles n.e.c. in chapter 63, including dress patterns",0,0.7321658,-0.768375,0.13488258
Wheat or meslin flour,0,0.73339164,-1.081669,-0.060603287
"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight",0,0.73357254,-3.1616468,-0.12173377
Rice,0,0.73365605,-1.6344155,-0.017066715
"Raw hides and skins n.e.c in headings no. 4101, 4102; fresh, salted, dried, pickled or otherwise preserved, not further prepared, whether or not dehaired or split",0,0.7344574,-2.865018,-0.018378628
"Twine, cordage, ropes and cables, whether or not plaited or braided; whether or not impregnated, coated, covered or sheathed with rubber or plastics",0,0.73546386,-0.6010915,0.17441776
"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",0,0.7356835,-1.6223227,-0.06410823
"Fruit, fresh; n.e.c. in chapter 08",0,0.7372759,-2.335409,-0.10902404
Melons (including watermelons) and papaws (papayas); fresh,0,0.73754334,-1.9247546,-0.10664674
"Antimony; articles thereof, including waste and scrap",0,0.7386935,-1.5061334,0.12119396
